url,title,description,favicon,emails,numbers,socials,street,city,region,postalCode
http://www.comgate.com,"Comgate Home Page","Home page of Comgate Engineering Limited","","[info_@comgate.com]","[6132354778, 6132484644]","[]","[236 First Ave]","","",""
http://toumoro.com,"Toumoro | Un dream team pour réaliser vos applications cloud","Toumoro conçoit des solutions web basées sur les technologies du cloud.","uploads-ssl.webflow.com/615600b2eb8a61c22cdd859a/6321169cfa423428e09d3b2d_favicon-32x32.png","[]","[4184761918]","[facebook.com/toumoroinc, linkedin.com/company/toumoro]","[]",bec,Canada,G2K 2G4
http://magic.io," magicstack ","","","[hello@magic.io]","[]","[]","[1235 Bay Street]",Toronto,ON,M5R 3K4
http://www.tink.ca,"Tink","Tink est la plus grande agence Web indépendante à Montréal. Nous conseillons et accompagnons les organisations dans leur transformation numérique.","themes/custom/tink/favicon.ico","[]","[]","[facebook.com/tinkweb, instagram.com/tinkweb, linkedin.com/company/tink, twitter.com/tinkweb, youtube.com/user/TinkWeb]","[]","","",""
http://hplustech.com,"HoloMAX Holographic Experience | H+Technology  ","This is the official H+Technology website, where we offer the creation of customizable holographic experiences. Browse more to learn about our vision of Humanizing Technology.","cdn.shopify.com/s/files/1/0916/2466/t/7/assets/Favicon2.png?v=171401685601241301831450009763","[your@email.com]","[]","[facebook.com/hplustech, instagram.com/hplustech, twitter.com/hplustech, youtube.com/hplustech]","[]","","",""
http://www.ubcbiztech.com,"UBC BizTech","","uploads-ssl.webflow.com/5ab99dd5a721b51066f4a882/6207300e9381c175b56cedac_New-Resized-small-logo.png","[aayush@ubcbiztech.com, alvin@ubcbiztech.com, anannay@ubcbiztech.com, ashmit@ubcbiztech.com, benjamin@ubcbiztech.com, benny@ubcbiztech.com, deep@ubcbiztech.com, gabriel@ubcbiztech.com, irene@ubcbiztech.com, jae@ubcbiztech.com, janelle@ubcbiztech.com, jaspaul@ubcbiztech.com, jerry@ubcbiztech.com, jinda@ubcbiztech.com, kamryn@ubcbiztech.com, karen@ubcbiztech.com, krishi@ubcbiztech.com, lauren@ubcbiztech.com, linda@ubcbiztech.com, maddie@ubcbiztech.com, melissa@ubcbiztech.com, merissa@ubcbiztech.com, michelle@ubcbiztech.com, paige@ubcbiztech.com, ploy@ubcbiztech.com, rora@ubcbiztech.com, russell@ubcbiztech.com, samantha@ubcbiztech.com, sang@ubcbiztech.com, shannon@ubcbiztech.com, shaw-ern@ubcbiztech.com, steven@ubcbiztech.com, sue@ubcbiztech.com, tiffany@ubcbiztech.com, timothy@ubcbiztech.com, vedika@ubcbiztech.com, victorv@ubcbiztech.com]","[]","[facebook.com/BizTechUBC/, facebook.com/BizTechUBC/photos/basw.AbrXc0Vh-Q2roS0mA_eUKhNJ6e-oZCA02XDOLXP7cb-kU-p3ZlTgsqhXqOoW2fiwrrLqKi4w0jZbYmixFw0F5kRWkdJPhtLWDEGdl7Z8S3JcnBqYvLE6pEH4OasRiFSviKi6Lw19DLusgYGFwmS2OuyG/4617873608243614/?opaqueCursor=Abr-ZA3TAzuWaLlrVx68KssbeHUCiV5cZWcl1OsFs1pXhRKXW72eZ9uTHzVhq7z7lkHqlKn1LP0ZGMyJxQSvHVQEjooE771kPnXbORUpKvAzbiXCVZfQb2AsaUae-ts03ZmVlQBYrRpy75DdortK4qe-ZS1Xcmn4FoySLMvdRhPHL9g_adB2keH0kQr15RQK8h5gk09kW4bMYHoihie9ZE5yd4alSNZYBRICn2D2RpQtt7YzW4X5Yn_XWpQ6JO_fCDjEU58I3FfNWAKgdapAwg0XacWo57K_b-RvmbrlSNbR6H18Zg2z9zd-NrPTFEnwlrxwyQbS9e1UwEt_Hvif8iOUNp-JbCs-dCHOGI81ZTTfJwU1uJhK0sRdnWFugzgjMe9yEqgIAuFY3T3cHK3SYOvEi87_AgF7IG5N9R2pl1_iErfG8BYYWy-qdVFGE6T0E3BVqHjr6Sd-P1KsdHQC9JlW_A4de253aTS_csLjY9gkiT-GR3Rz0FHqKeJj6AhwespLHVDf99cfN7NHdelHyFWfWTvXF_GLSkRs6nKsjHDMwth0Nq5hSFkFA9ArvQUWLtUfVPLlRhGw0IS0qBt2rAEMqyoWTiO1dnAwOA4zLtbmjPdSF1zSSnXVGgXZn4uOJpnZdrVdMtWVBaKHLNm7AOeSootVwRb7iMbeLUI_mwh7K37NNDSe2BNBvE3VuABeHjAEoTcTKHHYnKYmEAhAdPIvlWwYMqHcUtAPibgp0R03dA, facebook.com/events/1235686960233332?acontext=%7B%22event_action_history%22%3A, facebook.com/events/2325464121037079/, facebook.com/events/2907685482882462/?ref=newsfeed, facebook.com/events/511592493015556/, facebook.com/events/545993513361822?acontext=%7B%22event_action_history%22%3A, facebook.com/events/579029373342080?acontext=%7B%22event_action_history%22%3A, instagram.com/ubcbiztech/, linkedin.com/company/ubcbiztech/, linkedin.com/in/aayushkogar/, linkedin.com/in/alvin-kam/?originalSubdomain=ca, linkedin.com/in/ashmitgupta/, linkedin.com/in/benjaminpgerochi, linkedin.com/in/benny-chinvanich-6182261a4/?originalSubdomain=ca, linkedin.com/in/deep-parekh02/?originalSubdomain=in, linkedin.com/in/emichelle-teh/, linkedin.com/in/gabrieltinio/, linkedin.com/in/jerryxu-/?originalSubdomain=ca, linkedin.com/in/kamryn-chin-164440aa/?trk=public_profile_browsemap&amp, linkedin.com/in/krishimittal/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&amp, linkedin.com/in/linda--ma/, linkedin.com/in/maddie-nguyen/?originalSubdomain=ca, linkedin.com/in/paige--ingram/, linkedin.com/in/ployphusri/, linkedin.com/in/rorav/, linkedin.com/in/russell-nip-6175961bb/, linkedin.com/in/shawernseel/?originalSubdomain=ca, linkedin.com/in/stevenli39/?originalSubdomain=ca, linkedin.com/in/sueleee/, linkedin.com/in/timothy-ho-1881381aa/?originalSubdomain=ca, linkedin.com/in/vedikagoel/?trk=public_profile_browsemap&amp, linkedin.com/in/victor-vannara/, linkedin.com/in/xuansang/?originalSubdomain=ca, m.facebook.com/events/478820647255729/]","[]","","",""
http://www.psadler.com,"Project Management Training & Consulting -- Paul S. Adler and Associates","Paul S. Adler and Associates provides cost-effective, professional services in establishing Project Management Offices as well as creating Microsoft Project templates for technical and non-technical projects. Based in Ottawa, Canada, we have provided over 500 practical project management courses across North America since 1990.","","[psadler@psadler.com]","[]","[]","[2720 Wyldewood Street]","","",""
http://www.start.ca,"High-speed Internet, TV and Digital Phone | start.ca","Friendly provider of high-speed internet, TV and digital phone services. Based in London, Ontario since 1995.","images/favicon.png","[]","[8664345888]","[ca.linkedin.com/company/start-ca, facebook.com/start.ca, facebook.com/tr?id=1756021557979240&ev=PageView&noscript=1, twitter.com/startca, youtube.com/startca]","[]",London,ON,N5W 2S8
http://www.raq-canada.com,"arrow&amp;v","Répondant à une pénurie de main d'œuvres dans le milieu sportif amateur, RAQ Technologies offre d'automatiser l'affichage des communications dans les événements et complexes sportifs du Canada à l'aide d'outils technologiques.","static.wixstatic.com/media/e0dd12_c08d6ec15d5b437f9d666b459222672f%7Emv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/e0dd12_c08d6ec15d5b437f9d666b459222672f%7Emv2.png","[605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, info@raq-canada.com]","[3097865384, 3919791905, 8058174611]","[facebook.com/raqtechnologies]","[]","","",""
http://www.tenthline.com,"Tenthline | Digital Transformation Solutions | DevOps","Tenthline offers cloud solutions for Alfresco deployment and customization. Our services include a combination of certified developers and automation experts to help you make the most out of your digital transformation.","i0.wp.com/www.tenthline.com/wp-content/uploads/2022/04/tenthline_icon_rgb_pos-350px.png?fit=32%2C32&ssl=1","[info@tenthline.com]","[9059101214]","[facebook.com/TenthlineECM/, linkedin.com/company/tenthline/, twitter.com/Tenthline_ECM]","[]","","",""
